"%s is available for purchase in increments of %s only.","Produkt %s jest dostępny do kupienia tylko w ilościach będących wielokrotnością %s."
"%s is not a correct comparsion method.","%s nie jest poprawną metodą porównania."
"<strong>Note</strong> that these settings are applicable to cart line items, not the whole cart.","<strong>Pamiętaj</strong>, że te opcje mają zastosowanie do pojedyńczych produktów  koszyka, a nie do całego koszyka."
"Add Minimum Qty","Dodaj minimalną ilość"
"Allow Qty Below 0","Zezwól na ilość mniejszą od 0"
"Allow Qty Below 0 and Notify Customer","Zezwól na ilość mniejszą od 0 i powiadom klienta"
"Automatically Return Credit Memo Item to Stock","Automatycznie zwróć produkt z faktury korygującej do magazynu"
"Backorders","Rezerwacje"
"By Fixed value","O stałą wartość"
"By Percentage","O wartość procentową"
"Cannot specify product identifier for the order item.","Nie można określić identyfikatora zamawianego produktu."
"Catalog Inventory","Stany magazynowe"
"Decrease Stock When Order is Placed","Zmniejsz stan magazynowy po złożeniu zamówienia"
"Enable Qty Increments","Włącz zwiększanie ilości"
"In Stock","W magazynie"
"Index Product Stock Status","Status indeksu stanów magazynowych"
"Inventory","Magazyn"
"Inventory API","API stanów magazynowych"
"Inventory Section","Sekcja stanów magazynowych"
"Manage Stock","Zarządzaj stanami"
"Maximum Qty Allowed in Shopping Cart","Maksymalna ilość dozwolona w koszyku"
"Minimum Qty","Minimalna ilość"
"Minimum Qty Allowed in Shopping Cart","Minimalna ilość dozwolona w koszyku"
"No Backorders","Bez rezerwacji"
"Not all products are available in the requested quantity","Nie wszystkie produkty są dostępne w wybranej ilości"
"Notify for Quantity Below","Powiadamiaj o ujemnej ilości"
"Only X left Threshold","Przedział do pozostało X produktów"
"Out of Stock","Brak w magazynie"
"Product Stock Options","Opcje stanów magazynowych"
"Qty Increments","Zwiększanie ilości"
"Qty for Item's Status to Become Out of Stock","Ilość po której produkt otrzyma status Brak w magazynie"
"Retrieve stock data","Pobierz dane stanów magazynowych"
"Retrieve stock data by product ids","Pobierz dane stanów magazynowych wg id produktu"
"Rule price","Reguła ceny"
"Set Items' Status to be In Stock When Order is Cancelled","Ustaw status produktu na Dostępny kiedy zamówienie zostanie anulowane"
"Some of the products cannot be ordered in the requested quantity.","Niektóre z produktów nie mogą zostać zamówione w podanej ilości."
"Stock Options","Opcje stanów"
"Stock Status","Status stanów"
"The stock item for Product in option is not valid.","Jednostka ilości dla produktu w opcji nie jest poprawna."
"The stock item for Product is not valid.","Jednostka ilości dla produktu nie jest poprawna."
"This product is available for purchase in increments of %s only.","Ten produkt jest dostępny do kupienia tylko w ilościach będących wielokrotnością %s."
"To Fixed Value","Do stałej wartości"
"To Percentage","Do wartości procentowej"
"Undefined product type.","Niezdefiniowany typ produktu."
"Update","Aktualizuj"
"Update product stock data","Aktualizuj dane stanów magazynowych"
"Update the Product","Aktualizuj produkt"
